"","mu","N","theta","c","comp","n","probWTWin"
"289",1.58489319246111e-05,10000,0.158489319246111,0.1,0.2,50,0.994317313511322
"290",1.99526231496888e-05,10000,0.199526231496888,0.1,0.2,50,0.997591089727256
"291",2.51188643150958e-05,10000,0.251188643150958,0.1,0.2,50,0.999130286630019
"292",3.16227766016838e-05,10000,0.316227766016838,0.1,0.2,50,0.999705362524419
"293",3.98107170553497e-05,10000,0.398107170553497,0.1,0.2,50,0.999917658769417
"294",5.01187233627273e-05,10000,0.501187233627272,0.1,0.2,50,0.999979975064471
"295",6.30957344480194e-05,10000,0.630957344480194,0.1,0.2,50,0.999995753920329
"296",7.94328234724282e-05,10000,0.794328234724282,0.1,0.2,50,0.999999209326281
"297",1e-04,10000,1,0.1,0.2,50,0.999999868979012
"298",0.000125892541179417,10000,1.25892541179417,0.1,0.2,50,0.999999980297468
"299",0.000158489319246111,10000,1.58489319246111,0.1,0.2,50,0.99999999724139
"300",0.000199526231496888,10000,1.99526231496888,0.1,0.2,50,0.999999999629153
"301",0.000251188643150958,10000,2.51188643150958,0.1,0.2,50,0.99999999995048
"302",0.000316227766016838,10000,3.16227766016838,0.1,0.2,50,0.999999999993201
"303",0.000398107170553498,10000,3.98107170553498,0.1,0.2,50,0.999999999999009
"304",0.000501187233627273,10000,5.01187233627273,0.1,0.2,50,0.999999999999842
"305",0.000630957344480194,10000,6.30957344480194,0.1,0.2,50,0.999999999999972
"306",0.000794328234724282,10000,7.94328234724282,0.1,0.2,50,0.999999999999994
"307",0.001,10000,10,0.1,0.2,50,0.999999999999999
"308",1e-08,10000,1e-04,0.1,0.5,50,0.0145214860408461
"309",1.25892541179417e-08,10000,0.000125892541179417,0.1,0.5,50,0.0182362357990437
"310",1.58489319246111e-08,10000,0.000158489319246111,0.1,0.5,50,0.0228870681749579
"311",1.99526231496888e-08,10000,0.000199526231496888,0.1,0.5,50,0.0287019280997294
"312",2.51188643150958e-08,10000,0.000251188643150958,0.1,0.5,50,0.0359599051799908
"313",3.16227766016838e-08,10000,0.000316227766016838,0.1,0.5,50,0.0450003332913663
"314",3.98107170553497e-08,10000,0.000398107170553497,0.1,0.5,50,0.052215993625505
"315",5.01187233627272e-08,10000,0.000501187233627273,0.1,0.5,50,0.0554253900923989
"316",6.30957344480193e-08,10000,0.000630957344480193,0.1,0.5,50,0.0593727627686332
"317",7.94328234724282e-08,10000,0.000794328234724282,0.1,0.5,50,0.0643617370164064
